time_ms,workflow_id,entity_id,event_type,completes_at,compute_ms,cost_usd,decision,entry_agent,errored,inference_ms,infra_job_id,infra_latency_ms,input_tokens,network_back_ms,network_out_ms,output_tokens,prompt_tokens,queue_wait_ms,reason,response_tokens,session_tokens,step,steps,target,tool,tool_ms,total_cost_usd,total_latency_ms,workload
37399.799,wf-chat-light-0015,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.0033975000000000003,GENERATE_TEXT,,,,agent-shared-infra-70,1.0416666666666667,,,,103,,0.0,,,,,,,,,,,
37399.799,wf-chat-light-0015,agent-shared,TOOL_RETURN,,,,,,,,,,,,,,,,,300,,,,,,,,,
37400.840,wf-chat-light-0015,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-70,,,,,,,,,,,,,,,,,,
37400.840,wf-chat-light-0015,agent-shared,LLM_DISPATCH,39420.80257182526,,0.0033975000000000003,GENERATE_TEXT,,,2019.9622498743395,,,,0.0,0.0,103,,,,,,,,,,,,,
37630.954,wf-tool-heavy-0058,agent-shared,AGENT_RECEIVE,,,,,,,,,,282,,,,,,,,282,1,,,,,,,
37630.954,wf-tool-heavy-0058,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.0018450000000000003,CALL_TOOL,,,,agent-shared-infra-71,1.0416666666666667,,,,114,,0.0,,,,,,,,,,,
37631.996,wf-tool-heavy-0058,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-71,,,,,,,,,,,,,,,,,,
37631.996,wf-tool-heavy-0058,agent-shared,LLM_DISPATCH,40620.522273981354,,0.0018450000000000003,CALL_TOOL,,,2988.5265502327707,,,,0.0,0.0,114,,,,,,,,,,,,,
38582.479,wf-tool-heavy-0056,agent-shared,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,143,,,,,,,,,,,,,
38582.479,wf-tool-heavy-0056,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,SUCCESS,,,,2,,,,0.0039299999999999995,7926.8180891133525,tool-heavy
38726.740,wf-chat-light-0021,agent-shared,AGENT_RECEIVE,,,,,,,,,,45,,,,,,,,45,1,,,,,,,
